"id","timestamp","session_id","LINKS","MIDDEN","RECHTS"
"473","2024-12-26 21:40:53.417397+00","2","1","0","0"
"474","2024-12-26 21:40:55.198655+00","2","0","1","0"
"475","2024-12-26 21:40:55.663231+00","2","0","0","1"
"476","2024-12-26 21:40:56.268749+00","2","0","1","0"
"477","2024-12-26 21:40:56.533871+00","2","0","1","0"
"478","2024-12-26 21:40:56.596497+00","2","1","0","0"
"479","2024-12-26 21:40:56.922687+00","2","1","0","0"
"480","2024-12-26 21:40:57.186108+00","2","0","1","0"
"481","2024-12-26 21:40:57.553918+00","2","0","0","1"
"482","2024-12-26 21:40:57.974022+00","2","0","1","0"
"483","2024-12-26 21:40:58.083121+00","2","0","1","0"
"484","2024-12-26 21:40:58.13414+00","2","1","0","0"
"485","2024-12-26 21:40:58.321996+00","2","0","1","0"
"486","2024-12-26 21:40:58.392793+00","2","1","0","0"
"487","2024-12-26 21:40:58.811618+00","2","0","1","0"
"488","2024-12-26 21:40:59.044841+00","2","0","0","1"
"489","2024-12-26 21:40:59.473305+00","2","0","0","1"
"490","2024-12-26 21:40:59.77857+00","2","0","1","0"
"491","2024-12-26 21:41:00.143983+00","2","1","0","0"
"492","2024-12-26 21:41:00.804122+00","2","0","1","0"
"493","2024-12-26 21:41:00.831666+00","2","0","0","1"
"494","2024-12-26 21:41:00.91621+00","2","0","1","0"
"495","2024-12-26 21:41:01.024762+00","2","0","0","1"
"496","2024-12-26 21:41:01.443267+00","2","0","1","0"
"497","2024-12-26 21:41:01.597501+00","2","1","0","0"
"498","2024-12-26 21:41:01.715666+00","2","0","1","0"
"499","2024-12-26 21:41:01.810199+00","2","1","0","0"
"500","2024-12-26 21:41:02.458927+00","2","0","1","0"
"501","2024-12-26 21:41:02.700603+00","2","0","0","1"
"502","2024-12-26 21:41:02.871291+00","2","0","1","0"
"503","2024-12-26 21:41:03.016846+00","2","1","0","0"
"504","2024-12-26 21:41:03.303023+00","2","0","1","0"
"505","2024-12-26 21:41:03.427111+00","2","1","0","0"
"506","2024-12-26 21:41:03.68068+00","2","0","1","0"
"507","2024-12-26 21:41:03.918608+00","2","0","0","1"
"508","2024-12-26 21:41:04.633142+00","2","0","1","0"
"509","2024-12-26 21:41:05.000423+00","2","1","0","0"
"510","2024-12-26 21:41:05.375384+00","2","0","1","0"
"511","2024-12-26 21:41:05.70495+00","2","0","0","1"
"512","2024-12-26 21:41:06.167417+00","2","0","1","0"
"513","2024-12-26 21:41:06.456788+00","2","1","0","0"
"514","2024-12-26 21:41:06.541669+00","2","0","1","0"
"515","2024-12-26 21:41:06.687307+00","2","1","0","0"
"516","2024-12-26 21:41:07.131589+00","2","0","1","0"
"517","2024-12-26 21:41:07.472177+00","2","0","0","1"
"518","2024-12-26 21:41:07.905129+00","2","0","1","0"
"519","2024-12-26 21:41:08.160224+00","2","0","1","0"
"520","2024-12-26 21:41:08.27844+00","2","1","0","0"
"521","2024-12-26 21:41:08.689757+00","2","0","1","0"
"522","2024-12-26 21:41:08.911715+00","2","0","0","1"
"523","2024-12-26 21:41:09.195413+00","2","0","1","0"
"524","2024-12-26 21:41:09.330796+00","2","1","0","0"
"525","2024-12-26 21:41:09.699954+00","2","1","0","0"
"526","2024-12-26 21:41:09.953287+00","2","0","1","0"
"527","2024-12-26 21:41:10.124767+00","2","0","0","1"
"528","2024-12-26 21:41:10.568626+00","2","0","1","0"
"529","2024-12-26 21:41:10.774362+00","2","1","0","0"
"530","2024-12-26 21:41:10.977393+00","2","1","0","0"
"531","2024-12-26 21:41:11.314078+00","2","0","1","0"
"532","2024-12-26 21:41:11.516896+00","2","0","0","1"
"533","2024-12-26 21:41:11.759712+00","2","0","1","0"
"534","2024-12-26 21:41:11.934208+00","2","1","0","0"
"535","2024-12-26 21:41:12.649603+00","2","0","1","0"
"536","2024-12-26 21:41:12.782648+00","2","0","0","1"
"537","2024-12-26 21:41:13.197102+00","2","0","1","0"
"538","2024-12-26 21:41:13.404639+00","2","1","0","0"
"539","2024-12-26 21:41:13.961096+00","2","0","1","0"
"540","2024-12-26 21:41:14.517467+00","2","0","0","1"
"541","2024-12-26 21:41:14.832028+00","2","0","1","0"
"542","2024-12-26 21:41:14.961777+00","2","1","0","0"
"543","2024-12-26 21:41:15.19248+00","2","1","0","0"
"544","2024-12-26 21:41:15.431556+00","2","0","1","0"
"545","2024-12-26 21:41:15.566055+00","2","0","0","1"
"546","2024-12-26 21:41:15.965908+00","2","0","1","0"
"547","2024-12-26 21:41:16.182141+00","2","1","0","0"
"548","2024-12-26 21:41:16.590733+00","2","0","1","0"
"549","2024-12-26 21:41:16.659179+00","2","0","1","0"
"550","2024-12-26 21:41:16.730386+00","2","0","0","1"
"551","2024-12-26 21:41:16.947303+00","2","0","1","0"
"552","2024-12-26 21:41:17.267995+00","2","0","1","0"
"553","2024-12-26 21:41:17.428828+00","2","0","0","1"
"554","2024-12-26 21:41:17.808947+00","2","0","1","0"
"555","2024-12-26 21:41:17.99224+00","2","1","0","0"
"556","2024-12-26 21:41:18.552296+00","2","0","1","0"
"557","2024-12-26 21:41:18.880835+00","2","0","0","1"
"558","2024-12-26 21:41:19.234809+00","2","0","1","0"
"559","2024-12-26 21:41:19.381658+00","2","1","0","0"
"560","2024-12-26 21:41:19.620469+00","2","0","1","0"
